2026-07-22 09:26:14.984 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE935N01020/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.008 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE670A01012/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.028 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE976I01016/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.049 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE1TAE01010/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.065 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE494B01023/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.083 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE758T01015/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.097 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE155A01022/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.106 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE066A01021/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:15.115 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE192A01025/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:18.661 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:22.568 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:22.593 | ERROR    | api.upstox_client:get:54 - Request failed for /market-quote/quotes: Event loop is closed
2026-07-22 09:26:25.990 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:29.588 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:33.033 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:36.572 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:40.075 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:43.524 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:46.994 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:50.451 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:53.978 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:26:57.521 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:00.976 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:04.461 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:07.922 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:11.398 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:14.869 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:18.447 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:21.919 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:25.436 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
2026-07-22 09:27:28.907 | ERROR    | api.upstox_client:get:54 - Request failed for /historical-candle/NSE_EQ|INE016A01026/day/2026-07-22/2026-06-22: Event loop is closed
